Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,Is Common Movie
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,93,97.286,Martin Scorsese,"Bob Dylan, Joan Baez, Patti Smith, Roger McGuinn",Filmmaker Martin Scorsese chronicles the troubled spirit of America in 1975 along with the joyous music that Bob Dylan performed...,,,,,,,FALSE
Cam,2018,93,98.629,Daniel Goldhaber,"Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid","A camgirl has her principles, until a mysterious woman who looks just like her takes over her channel....",,Drama,5.9,71,94,31129,FALSE
Private Life,2018,93,98.891,Tamara Jenkins,"Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon",A couple coping with infertility struggle to keep their marriage going as they navigate through the world of adoption and...,,Comedy,7.2,83,123,19397,TRUE
"Yes, God, Yes",2019,93,100.558,Karen Maine,"Natalia Dyer, Christian Adam, Susan Blackwell, Alisha Boe",A Catholic girl finds herself having tempting thoughts after an AOL chat turns unexpectedly racy....,,Comedy,6.1,71,78,14521,FALSE
Saving Private Ryan,1998,93,100.748,Steven Spielberg,"Tom Hanks, Edward Burns, Tom Sizemore, Jeremy Davies","Captain John Miller (Tom Hanks) takes his men behind enemy lines to find Private James Ryan, whose three brothers have...",485035085,Drama,8.6,91,169,1346544,TRUE
An Inconvenient Truth,2006,93,99.065,Davis Guggenheim,"Al Gore, Billy West","Filmmaker Davis Guggenheim follows Al Gore on the lecture circuit, as the former presidential candidate campaigns to raise public awareness...",53365925,,,,,,TRUE
The Meyerowitz Stories (New and Selected),2017,93,106.098,Noah Baumbach,"Adam Sandler, Ben Stiller, Dustin Hoffman, Emma Thompson",The adult children of Harold Meyerowitz reunite in New York in preparation for their father's career retrospective....,,,,,,,FALSE
Midnight in Paris,2011,93,101.194,Woody Allen,"Owen Wilson, Rachel McAdams, Marion Cotillard, Michael Sheen","Gil Pender (Owen Wilson) is a screenwriter and aspiring novelist. Vacationing in Paris with his fiancee (Rachel McAdams), he has...",162275213,Comedy,7.7,81,94,416343,TRUE
Hugo,2011,93,101.604,Martin Scorsese,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chlo? Grace Moretz","Orphaned and alone except for an uncle, Hugo Cabret (Asa Butterfield) lives in the walls of a train station in...",180047784,Drama,7.5,83,126,319496,TRUE
Looper,2012,93,104.254,Rian Johnson,"Bruce Willis, Joseph Gordon-Levitt, Emily Blunt, Paul Dano","In a future society, time-travel exists, but it's only available to those with the means to pay for it on...",170466405,Drama,7.4,84,119,567012,FALSE
Sorry to Bother You,2018,93,112.213,Boots Riley,"Lakeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick","In an alternate reality of present-day Oakland, Calif., telemarketer Cassius Green finds himself in a macabre universe after he discovers...",18285560,Comedy,6.9,80,112,75961,FALSE
The Power of the Dog,2021,94,111.85,Jane Campion,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee","Severe, pale-eyed, handsome, Phil Burbank is brutally beguiling. All of Phil's romance, power and fragility is trapped in the past...",263233,,,,,,TRUE
Midnight Run,1988,94,97.381,Martin Brest,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton",When Eddie Moscone (Joe Pantoliano) hires tight-lipped bounty hunter Jack Walsh (Robert De Niro) to locate a mob accountant named...,81613606,Comedy,7.5,78,126,84883,FALSE
Sword of Trust,2019,94,99.616,Lynn Shelton,"Marc Maron, Jon Bass, Michaela Watkins, Jillian Bell",A cantankerous pawnshop owner and his man-child employee team up with an out-of-town couple who are trying to hawk a...,322598,Comedy,6.3,70,88,3665,FALSE
The Lost Daughter,2021,94,105.15,Maggie Gyllenhaal,"Olivia Colman, Dakota Johnson, Peter Sarsgaard, Jessie Buckley","Alone on a seaside vacation, Leda becomes consumed with a young mother and daughter as she watches them on the...",618109,Drama,6.7,86,121,56817,TRUE
Her,2013,94,106.614,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara",A sensitive and soulful man earns a living by writing personal letters for other people. Left heartbroken after his marriage...,48043998,Drama,8,91,126,592651,TRUE
Marriage Story,2019,94,119.134,Noah Baumbach,"Scarlett Johansson, Adam Driver, Azhy Robertson, Laura Dern",A stage director and his actor wife struggle through a grueling divorce that pushes them to their limits....,320349,Drama,7.9,94,137,294464,TRUE
Croupier,1998,95,96.586,Mike Hodges,"Clive Owen, Kate Hardie, Alex Kingston, Gina McKee","Jack Manfred (Clive Owen) is an aspiring writer who to make ends meet, takes a job as a croupier. Jack...",7071143,,,,,,FALSE
Klaus,2019,95,97.83,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso",A desperate postman accidentally brings about the genesis of Santa Claus....,,Comedy,8.1,65,96,141905,TRUE
Good Hair,2009,95,97.776,Jeff Stilson,"Chris Rock, Maya Angelou, Nia Long, Ice-T","Prompted by a question from his young daughter, comic Chris Rock sets out to explore the importance of hair in...",4222942,,,,,,FALSE
Rita Moreno: Just a Girl Who Decided to Go For It,2021,95,100.487,Mariem P¨¦rez Riera,"Rita Moreno, Lin-Manuel Miranda, Norman Lear, George Chakiris","Over a 70+ year career, Rita Moreno defied both her humble upbringing and relentless racism to become a celebrated and...",,,,,,,FALSE
Nightcrawler,2014,95,106.231,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed",Los Angeles denizen Louis Bloom (Jake Gyllenhaal) survives by scavenging and petty theft. He stumbles into a new career as...,50334418,Drama,7.8,76,117,524105,TRUE
The Irishman,2019,95,124.303,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Anna Paquin","In the 1950s, truck driver Frank Sheeran gets involved with Russell Bufalino and his Pennsylvania crime family. As Sheeran climbs...",910234,Drama,7.8,94,209,372025,TRUE
Outside In,2017,96,97.185,Lynn Shelton,"Jay Duplass, Edie Falco, Kaitlyn Dever, Ben Schwartz",An ex-convict tries to readjust to life in his small town and forms an intense relationship with his former high...,68492,,,,,,FALSE
I Am Divine,2012,96,97.589,Jeffrey Schwarz,"Michael Musto, Mark Payne, Greg Gorman, Mink Stole","The life and work of cultural icon, recording artist and actor Divine....",,,,,,,FALSE
To All the Boys I've Loved Before,2018,96,98.484,Susan Johnson,"Lana Condor, John Corbett, Noah Centineo, Emilija Baranac",A teenage girl's love letters are exposed and wreak havoc on her life....,,Comedy,7.1,64,99,103181,FALSE
I Lost My Body,2019,96,100.624,J¨¦r¨¦my Clapin,"Hakim Faris, Victoire Du Bois, Patrick D'Assum?ao","A severed hand escapes from a dissection lab, determined to find its body again....",,,,,,,TRUE
American Factory,2019,96,100.15,Steven Bognar,Sherrod Brown,"In post-industrial Ohio, a Chinese billionaire opens a new factory in the husk of an abandoned General Motors plant. Early...",,,,,,,TRUE
Taxi Driver,1976,96,104.379,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel","Suffering from insomnia, disturbed loner Travis Bickle (Robert De Niro) takes a job as a New York City cabbie, haunting...",28447834,Drama,8.3,94,114,796811,TRUE
Menashe,2017,96,103.475,Joshua Z Weinstein,"Menashe Lustig, Ruben Niborski, Yoel Weisshaus, Meyer Schwartz","Deep in the heart of New York's notoriously secretive Hasidic Jewish community, Menashe, a good-hearted but somewhat hapless grocery store...",1944300,,,,,,FALSE
Atlantics,2019,96,104.455,Mati Diop,"Abdou Balde, Aminata Kane, Ibrahima Mbaye, Amadou Mbow","After the bodies of his friends feeling Senegal for Europe wash up on a shore, a young woman assumes that...",,,,,,,FALSE
The Social Network,2010,96,108.688,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer","In 2003, Harvard undergrad and computer genius Mark Zuckerberg (Jesse Eisenberg) begins work on a new concept that eventually turns...",224922135,Drama,7.8,95,120,683050,TRUE
